01_prenom;02_genre;03_langage;04_fréquence
charissa;f;english;0
charita;f;english;0
charity;f;english;0.06
charla;f;english;0
charlene;f;english;0
charles;m;english, french;80.57
charley;f,m;english;0.10
charlie;m,f;english;14.97
charline;f;french;0
charlot;m;french;2.96
charlotta;f;scandinavian;0
charlotte;f;french, english;16.22
charlton;m;english;0.06
charmaine;f;english;0
charmian;f;english;0
charna;f;jewish;0
charnette;f;english (modern);0.29
charo;f;spanish;0
chas;m;english;0.38
chase;m;english;0.25
chasity;f;english;0
chastity;f;english;0.03
chatzkel;m;jewish;0
chau;f;vietnamese;0.06
chauncey;m;english;0
chava;f;jewish;0
chaya;f;jewish;0
chayim;m;jewish;0
chaz;m;english;0
che;m;spanish;2.26
chelle;f;english;0
chelo;f;spanish;0
chelsea;f;english;0.41
chelsey;f;english;0
chelsie;f;english;0
chenaniah;m;biblical (variant);0
chenda;f;khmer;0
cheng;m;chinese;0.03
cher;f;english;73.59
cherette;f;english;0
cheri;f;english;0
cherice;f;english (modern);0
cherie;f;english;0
cherilyn;f;english;0
cherise;f;english;0
cherish;f;english;0
chernobog;m;slavic mythology;0
cherokee;f,m;english;0.03
cherry;f;english;0.25
cheryl;f;english;0
chesed;f;jewish;0
chesley;m;english;0
chester;m;english;0.22
chet;m;english;0.03
chetana;m;indian;0
chevonne;f;irish;0
cheyanne;f;english (modern);0
cheyenne;f,m;english;0.10
chi;f;vietnamese;0.99
chiara;f;italian;0.03
chiarina;f;italian;0
chibuzo;m,f;african;0
chiela;f;esperanto;0
chika;f;japanese;0
chikako;f;japanese;0
chile;m;english;0
chin;m,f;chinese;0.06
china;f;english;3.60
chip;m;english;0
chita;f;spanish;0
chiumbo;m;african;0
chizoba;m,f;african;0
chloé;f;french;0.22
chloe;f;english, biblical, greek mythology;0
chloris;f;greek mythology;0
chonsie;f;english;0
chris;m,f;english;0.38
chrissie;f;english;0
chrissy;f;english;0
christ;m;theology;33.51
christa;f;german, danish, english;0.03
christabel;f;english;0
christabella;f;english;0
christabelle;f;english;0
christal;f;english (modern);0
christelle;f;french;0
christen;f;;0
christer;m;swedish, danish;0
christi;f;english;0.48
christiaan;m;dutch;0
christian;m;english, french, german;4.81
christiana;f;english;0.06
christiane;f;german, french;0.96
christianne;f;english, french;0
christie;f;english;0.48
christin;f;scandinavian, german;0
christina;f;english;0.16
christine;f;french, english;6.75
christmas;m;english;0.32
christobel;f;english;0
christoffer;m;scandinavian;0
christoph;m;german;0
christophe;m;french;13.86
christopher;m;english;0.13
christos;m;theology;0.32
christy;f;english;0.06
chrysanta;f;english;0
chrysanthe;f;greek, ancient greek;0
chrysanthos;m;greek, ancient greek;0
chryseis;f;greek mythology;0
chryssa;f;english;0
chrystal;f;english (modern);0
chucho;m;spanish;0
chuck;m;english;0.35
chun;f,m;chinese;0.03
chus;m;spanish;0.06
chylan;m;?;0
chyna;f;english (modern);0
cian;m;irish, irish mythology;0
cianán;m;irish;0
ciannait;f;irish;0
ciara;f;irish;0
ciaran;m;irish;0
cibor;m;polish;0
cicely;f;english;0
cicero;m;ancient roman;0.06
ciel;f;english;210.00
ciera;f;;0
cierra;f;;0
cili;f;hungarian;0
cilka;f;slovene;0
cilla;f;;0.29
cillian;m;irish;0
cillín;m;irish;0
cináed;m;scottish;0
cinderella;f;literature;0
cindra;f;english (modern);0
cindy;f;english;0
cinzia;f;italian;0
cionaodh;m;irish;0
ciprian;m;romanian;0
cipriano;m;italian;0.03
circe;f;greek mythology (latinized);0.03
ciriaco;m;italian, spanish;0
ciril;m;slovene;0
cirillo;m;italian;0
cirino;m;italian, spanish;0
ciro;m;italian, spanish;0
cissy;f;;0
citlali;f,m;native american;0
claire;f;french;49.67
clancy;m;irish, english;0
clara;f;english, italian, german, spanish, portuguese, romanian;18.67
clare;f;english;0.03
clarence;m;english;1.31
clarette;f;;0
claribel;f;english;0
clarice;f;english, french;0
clarinda;f;english;0
clarissa;f;english, italian;0.06
clarisse;f;french;7.93
clarity;f;english;0
clark;m;english;1.85
claud;m;english;0.03
claude;m,f;french, english;38.71
claudette;f;french;0.03
claudia;f;english, german, italian, spanish, portuguese, romanian, ancient roman;0.51
claudine;f;french;4.17
claudio;m;italian, spanish, portuguese;0.10
claudiu;m;romanian;0
claudius;m;ancient roman, english;0.61
claus;m;german;0.10
clay;m;english;0.22
clayton;m;english;0.10
cledwyn;m;welsh;0
cleena;f;irish;0
cleisthenes;m;ancient greek (latinized);0
clelia;f;italian;0
clem;m;english;0.03
clematis;f;english;0
clémence;f;french;2.68
clemency;f;english;0
clemens;m;german;0.10
clément;m;french;6.69
clement;m;english;0.10
clemente;m;italian, spanish;0.03
clementina;f;italian, spanish, portuguese;0
clementine;f;french;0
cleo;f;english;0
cleon;m;ancient greek (latinized);0
cleopatra;f;ancient greek (latinized), english;0
cletes;m;;0
cletis;m;;0
cleto;m;italian, spanish, portuguese;0
cletus;m;ancient greek (latinized);0
cleve;m;english;0
cleveland;m;english;0.35
cliff;m;english;0.03
clifford;m;english;1.40
clifton;m;english;0
clint;m;english;0.03
clinton;m;english;0.06
clio;f;greek mythology (latinized), italian;0.38
clíodhna;f;irish, irish mythology;0
clíona;f;irish;0
clitus;m;ancient greek (latinized), english;0
clive;m;english;0.06
clodagh;f;irish;0
clothilde;f;french;0
clotilda;f;english;0
clover;f;english;0
clovia;f;;0
clovis;m;ancient germanic (latinized);3.35
clyde;m,f;english;0.13
clytemnestra;f;greek mythology (latinized);0
clytia;f;greek mythology (latinized);0
cnaeus;m;ancient roman;0
cnut;m;;0
coby;m;;0
codie;m,f;english;0
cody;m;english, irish;0.06
coilean;m;irish;0
coinneach;m;scottish;0
cokkie;f;dutch;0
colbert;m;english;3.47
colby;m;english;0
cole;m;english;0.22
coleen;f;english;0
coleman;m;english, irish;0.19
colene;f;english;0
colette;f;french;3.79
colin;m;scottish, english;2.68
coline;f;english;0
colleen;f;english;0
collin;m;english;0.19
collyn;f;english;0
colm;m;irish;0.03
colmán;m;irish;0
colombain;m;french;0
colombe;m,f;french;3.89
colombina;f;italian;0
colten;m;english;0
colton;m;english;0
colum;m;irish;0
columba;m;late roman;0
columban;m;english;0
columbano;m;italian;0
columbine;f;english;0
columbo;m;italian;0
comfort;f;english;0.13
comgal;m;irish;0
comgan;m;irish;0
comhghall;m;irish;0
comhghán;m;irish;0
conall;m;irish, scottish, irish mythology;0
conan;m;irish;0.19
concepción;f;spanish;0
concepta;f;irish;0.03
concetta;f;italian;0
concetto;m;italian;0.03
concha;f;spanish;0.10
conchita;f;spanish;3.12
conchobhar;m;irish, irish mythology;0
concordia;f;english;0.03
confucius;m;history;0.70
conleth;m;irish;0
conn;m;irish;0
connell;m;english;0.22
conner;m;;0
connie;f;english;0
connor;m;irish, english;0.16
conor;m;irish, english;0.03
conrad;m;english, german;0.61
conrado;m;spanish;0.06
consolata;f;italian;0
constance;f;english, french;6.85
constancia;f;portuguese;0.06
constant;m;english, french;17.97
constanta;f;romanian;0
constantia;f;late roman;0
constantijn;m;dutch;0
constantin;m;french, romanian;1.94
constantina;f;ancient roman;0
constantine;m;history;0.57
constanza;f;spanish;0
consuela;f;spanish;0
consuelo;f;spanish;0.32
consus;m;roman mythology;0.03
conway;m;;0.45
cooper;m;english;2.36
coos;m;dutch;0
cora;f;english;0.29
coral;f;english;0.03
coralie;f;english;0.10
corbin;m;english;0.29
cordelia;f;english;0.29
cordell;m;english;1.02
cordula;f;english, german;0
coreen;f;english;0
corentin;m;breton, french;0.35
coretta;f;english;0
corey;m;english;0.03
coriander;f;english;0
corie;m;english;0
corin;m;french;0
corina;f;english, german, romanian;0
corine;f;english;0
corinna;f;english, german;0
corinne;f;french;0.99
cormac;m;irish;0
cormag;m;scottish;0
cornel;m;romanian;0
cornelia;f;english, italian, german, dutch, romanian, ancient roman;1.43
cornélio;m;portuguese;0
cornelis;m;dutch;0.03
corneliu;m;romanian;0
cornelius;m;ancient roman, english, german, biblical;0.13
cornell;m;english;0.19
corona;f;german;0.22
corrado;m;italian;0.03
corrie;f;english;0
corrine;f;english;0
cort;m;;0.06
cortney;f,m;english;0
cory;m;english;0
corynn;f;english (modern);0
cosette;f;french;0.10
cosima;f;italian;0.03
cosimo;m;italian;0.03
coskun;m;turkish;0
cosma;f;;0
cosmin;m;romanian;0
cosmina;f;romanian;0
cosmo;m;italian, english, german;0.03
costantino;m;italian;0
costanzo;m;italian;0
costel;m;romanian;0
costica;m;romanian;0
coty;m;english;0.64
courtney;f,m;english;0
cowal;m;irish;0
cowessess;m;native american;0
craig;m;scottish, english;0.73
crawford;m;english;0.19
cree;m;english;0
creighton;m;english;0.03
crescentia;f;german, ancient roman;0
crescentius;m;ancient roman;0
crescenzo;m;italian;0
cressida;f;english;0.03
crina;f;romanian;0
crispian;m;english;0
crispin;m;english;0.13
cristal;f;english (modern);17.52
cristen;f;;0
cristi;m;romanian;0.03
cristián;m;spanish;0
cristian;m;romanian;0
cristiana;f;italian;0.03
cristiano;m;italian, portuguese;0.06
cristina;f;italian, spanish, portuguese, romanian;1.47
cristobal;m;spanish;0.13
cristoforo;m;italian;0
cristóvão;m;portuguese;0
crocetta;f;italian;0
crocifissa;f;italian;0
crofton;m;english;0
cronus;m;greek mythology (latinized);0
cruz;f;spanish;0.76
cruzita;f;spanish;0
crystal;f;english;0.10
crystin;f;welsh;0
csaba;m;hungarian;0.03
csilla;f;hungarian;0
ctibor;m;czech;0
cuán;m;irish;0
cuauhtemoc;m;native american;0
cuc;f;vietnamese;0
cuchulainn;m;irish mythology;0
culhwch;m;welsh, welsh mythology;0
cullen;m;english;0.13
cunégonde;f;french;0
cunobelinus;m;ancient celtic (latinized);0
cupid;m;roman mythology;0
curro;m;spanish;0.06
curt;m;german, english;0.10
curtis;m;english;0.41
cuthbert;m;english;0.03
cy;m;english;0.25
cyan;f;english;0
cybele;f;near eastern mythology;0
cybill;f;english;0
cymbeline;m;english;0.22
cymone;f;english;0
cyndi;f;english;0
cyneburga;f;anglo-saxon;0
cynefrið;m;anglo-saxon;0
cynthia;f;english, greek mythology (latinized);0.16
cyprian;m;;0.03
cyra;f;;0
cyrano;m;literature;1.12
cyriaca;f;ancient roman;0
cyriacus;m;ancient roman;0
cyril;m;english;3.76
cyrilla;f;english;0
cyrille;m,f;french;1.15
cyrus;m;english, biblical;0.32
cystenian;m;welsh;0
czcibor;m;polish;0
czenzi;f;hungarian;0
czeslaw;m;polish;0
da;m;chinese;4.14
dacre;m;english;0
dada;f;african;2.71
daedalus;m;greek mythology;0
daffodil;f;english;0
dafne;f;italian;0
dafydd;m;welsh;0
dag;m;scandinavian;0.38
dagda;m;irish mythology;0
dagfinn;m;norwegian, danish;0
dagmar;f;scandinavian, german;0
dagny;f;scandinavian;0
dagrun;f;norwegian;0
dahlia;f;english;0.16
dai;m;welsh;0.19
dàibhidh;m;scottish;0
daichi;m;japanese;0
daina;f;lithuanian;0
dáire;m;irish;0
dáiríne;f;irish;0
daisy;f;english;11.05
daithí;m;irish;0
daividh;m;scottish;0
dakarai;f;african;0
dakota;m,f;english;0.25
dalal;f;arabic;0
dale;m,f;english;0.35
daley;m;irish, english;0
dalia;f;english;0
dalibor;m;czech, slovak, croatian, serbian, slovene;0
dallas;m;english;0.51
dalton;m;english;1.69
daly;m;irish, english;0.03
dalya;f;english;0
damaris;f;biblical;0
damayanti;f;indian;0
damhnait;f;irish;0
damian;m;english;0
damiana;f;italian;0
damiano;m;italian;0
damien;m;french;4.01
damion;m;english;0
damodar;m;indian;0.03
damon;m;greek mythology, english;0.03
dan (1);m;biblical;0
dan (2);m;english, romanian;0
dana (1);f;polish, czech, romanian;0
dana (2);m,f;english;0
danaë;f;greek mythology;0.03
danail;m;bulgarian;0
dand;m;scottish;0
dane;m;english;0.03
danette;f;english;0
dania;f;;0
danica;f;;0
dániel;m;hungarian;0
daniel;m;english, jewish, french, german, scandinavian, polish, czech, spanish, portuguese, romanian, biblical;10.99
daniela;f;polish, czech, romanian, italian;0
danièle;f;french;1.62
daniele;m;italian;0
daniella;f;english;0
danielle;f;french, english;0.86
daniil;m;russian;0
danika;f;;0
danilo;m;italian, portuguese, spanish;0
danita;f;;0
dannie;m;english;0
danny;m;english;0.06
dante;m;italian;5.13
danut;m;romanian;0
danuta;f;polish;0
danya;f;;0
daphne;f;greek mythology, english;0
dara (1);m;irish;0
dara (2);f;jewish;0
dara (3);f,m;khmer;0
darach;m;irish;0
darby;m,f;english;0.10
darcey;f;english;0.06
darcy;m,f;english;0.03
darden;m;english;0
dareia;f;greek;0
darell;m;english;0
daren;m;english;0
daria;f;italian, english, polish;0.10
darian;m,f;english;0
dariea;f;?;0
darien;m,f;english;0
darin;m;english;0
darina;f;irish;0
dario;m;italian;0.06
darius;m;english;0.89
darja;f;slovene;0
darla;f;english;0
darleen;f;english;0
darlene;f;english;0
darnell;m;english (modern);0
darrel;m;english;0
darrell;m;english;0
darren;m;english;0
darrin;m;english;0
darryl;m;english;0.06
darwin;m;english;3.95
darya;f;russian;0
daryl;m;english;0
dassah;f;jewish;0
daud;m;indian;0
dave;m;english;0
davena;f;;0
daveth;m;cornish;0
davey;m;english;0
dávid;m;hungarian;0
david;m;english, jewish, french, russian, czech, biblical;48.01
davida;f;english;0
davide;m;italian;0
davie;m;english;0.03
davin;m;english;0
davina;f;english;0
davinia;f;;0
davis;m;english;1.12
davy;m;english;1.75
dawid;m;polish;0
dawn;f;english;0.06
dawson;m;english;0.16
dawud;m;arabic;0
dax;m;english;0.86
dayaram;m;indian;0
dayna;f;english;0
dayo;f;african;0
dayton;m;english;0.03
dazbog;m;slavic mythology;0
dazhdbog;m;slavic mythology;0
dean;m;english;0.45
deana;f;english;0
deandre;m;english;0
deangelo;m;english;0
deanna;f;english;0.06
deanne;f;english;0
dearbháil;f;irish;0
deasún;m;irish;0
deb;f;english;0.13
debbi;f;english;0
debbie;f;english;0.03
debby;f;english;0
debdan;m;indian;0
debora;f;english;0.03
deborah;f;english, jewish, biblical;2.39
debra;f;english;0
decebal;m;romanian;0
decima;f;ancient roman;0
decimus;m;ancient roman;0
declan;m;irish;0
dee;f,m;english;0.19
deeann;f;english (modern);0
deemer;m;english;0
deena;f;english;0
deepak;m;indian;0
deepali;f;indian;0
deforest;m;english;0
deforrest;m;english;0
deidra;f;english;0
deidre;f;english;0
deimos;m;greek mythology;0
deiniol;m;welsh;0
deirbhile;f;irish;0
deirdre;f;english, irish;0
deitra;f;english;0
deja;f;;0
delaiah;m;biblical;0
delaney;m,f;english;0.03
delbert;m;english;0
delfina;f;italian, spanish;0
delia;f;english;0
delice;f;english;0
delicia;f;english;0
delilah;f;biblical, english;0
dell;m;english;0.10
della;f;english;1.59
delma;f;irish, english;0
delmar;m;english;0
delora;f;;0
delores;f;english;0
deloris;f;english;0
delphia;f;;0
delphina;f;;0
delphine;f;french;2.84
delphinia;f;;0
delroy;m;english;0
delshad;m;;0
delta;f;english;2.04
delwyn;m,f;welsh;0
delyth;f;welsh;0
dema;f;arabic;0
demelza;f;english;0
demeter (1);f;greek mythology;0
demeter (2);m;hungarian;0
demetria;f;ancient greek;0
demetrio;m;italian, spanish, portuguese;0
demetrios;m;greek, ancient greek;0.03
demetrius;m;ancient greek (latinized);0
demi;f;greek;151.45
democritus;m;ancient greek (latinized);0.03
demon;m;ancient greek;0
demosthenes;m;ancient greek;0
demostrate;f;ancient greek;0
demyan;m;russian;0
den;m;english;1.59
dena;f;english;0
dene;m;english;0
dénes;m;hungarian;0
denholm;m;english;0
denice;f;english;0
deniece;f;english (modern);0
denis;m;french, russian, english;8.54
denisa;f;czech, slovak, romanian;0
denise;f;french, english;2.36
deniz;f,m;turkish;0
dennis;m;english, french;0.35
denny;m;english;0.03
denton;m;english;0.61
denver;m;english;0.19
denys;m;english;0.41
denzel;m;english;0
denzil;m;english;0
deo;m;indian;0.48
deodan;m;indian;0
deòiridh;f;scottish;0
deon;m;english;0.03
deonne;m;english;0
deòrsa;m;scottish;0
derby;m;english;0.25
derek;m;english;0
derick;m;english;0
dermid;m;scottish;0
dermot;m;irish;0
derren;m;english;0
derrick;m;english;0.06
derry;m;;0.41
derval;f;irish;0.06
dervila;f;irish;0
dervla;f;irish;0
derya;f,m;turkish;0
deryck;m;english (modern);0
deryn;f;welsh;0
desdemona;f;english;0.03
deshaun;m;english (modern);0
deshawn;m;english (modern);0
desi;m;;0
desiderio;m;italian, spanish;0.03
désiré;m;french;8.16
désirée;f;french;2.77
desislav;m;bulgarian;0
desislava;f;bulgarian;0
desmond;m;english, irish;0.06
despina;f;greek;0.03
despoina;f;greek;0
desta;f;;0
destinee;f;english (modern);0
destiny;f;english;0
desya;m;russian;0
detlef;m;german;0
detta;m;english;0
dev;m;indian;0
devan;m;;0
devdan;m;indian;0
devdas;m;indian;0
deven;m;english;0
devereux;m;english;0.10
devi;f;indian, hindu mythology;0.03
devika;f;indian;0
devin;m;english, irish;1.62
devnet;f;irish;0
devon;m,f;english;0.10
dewayne;m;english (modern);0
dewey;m;welsh;0.41
dewi;m;welsh;0
dexter;m;english;0.32
dezi;m;;0
dezirinda;f;esperanto;0
dezsõ;m;hungarian;0
dhananjay;m;indian;0
diamantina;f;portuguese;0
diamond;f;english;0.06
diana;f;english, spanish, italian, portuguese, romanian, russian, roman mythology;1.34
diane;f;french, english;8.82
diann;f;english (modern);0
dianna;f;english;0
dianne;f;french, english;0
diarmad;m;scottish;0
diarmaid;m;irish, irish mythology;0
diarmuid;m;irish;0
dick;m;english;2.10
didi;m;german;1.21
didier;m;french;1.66
dido;f;roman mythology;0.03
diederick;m;german;0
diederik;m;dutch;0
diego;m;spanish;1.88
dierk;m;german;0
dieter;m;german;0
dietfried;m;german;0
diethelm;m;german;0.96
dietlinde;f;german;0
dietmar;m;german;0
dietrich;m;german;0.70
dieudonné;m;french;0.41
dieudonnée;f;french;0
digby;m;english;0.13
diggory;m;english;0
dijana;f;serbian, croatian, slovene;0
dikeledi;f;african;0
dilbert;m;literature;0
dilip;m;indian;0
dillon;m;english;0.25
dilshad;m;;0
dilwen;f;welsh;0
dilwyn;m;welsh;0
dilys;f;welsh;0
dima (1);f;arabic;0
dima (2);m;russian;0
dimitar;m;bulgarian, serbian;0
dimitri;m;russian, french;1.15
dina;f;english;0.13
dinah;f;biblical, english;0.29
dinesh;m;indian;0
dinh;m;vietnamese;0.06
dinis;m;portuguese;0
dino;m;italian;0.19
diodore;m;french;0.06
diodorus;m;ancient greek (latinized);0
diodotus;m;ancient greek (latinized);0
diogenes;m;ancient greek;0
diogo;m;portuguese;0
diokles;m;ancient greek;0
diomedes;m;greek mythology;0
dion;m;french, english;1.15
dione;f;english;0.06
dionisio;m;spanish, portuguese;0
dionne;f;english;0.13
dionysios;m;greek, ancient greek;0
dionysius;m;ancient roman;0
dionysodoros;m;ancient greek;0
dionysos;m;greek mythology;1.27
dionysus;m;roman mythology;0
dipak;m;indian, hindu mythology;0
dipali;f;indian;0
direnç;m;turkish;0
dirk;m;dutch, english;0
disgleirio;f,m;welsh;0
divina;f;english;0.16
divya;f;indian;0
dixie;f;english;0
diya;m;arabic;0
djamila;f;arabic;6.02
dmitri;m;russian;0.13
dmitrii;m;russian;0
dmitriy;m;russian;0
dmitry;m;russian;0
dobrogost;m;;0
dobromil;m;polish, czech;0
dodie;f;english;0
doina;f;romanian;0
doireann;f;irish;0
dollie;f;english;0
dolly;f;english;0.16
dolores;f;spanish, english;0.03
dolph;m;english;0
dom;m;english;2.17
domen;m;slovene;0
domenica;f;italian;2.58
domenico;m;italian;0.92
domhnall;m;scottish, irish;0
dominga;f;spanish;0
domingo;m;spanish;0.45
domingos;m;portuguese;0.03
dominic;m;english;0.03
dominica;f;;0.03
dominick;m;english;0
dominik;m;czech, russian, polish, german;0
dominika;f;czech, russian, polish;0
dominique;f,m;french;7.30
domitilla;f;italian;0
domonkos;m;hungarian;0
don;m;english;49.12
dona;f;english;7.33
donagh;m;irish;0
donal;m;irish;0
donald;m;scottish, english;1.05
donalda;f;scottish, english;0
donaldina;f;scottish;0
donar;m;germanic mythology;0
donát;m;hungarian;0
donat;m;french, provençal, catalan, polish;0.03
donata;f;italian;0
donatella;f;italian;0
donatello;m;italian;0.06
donatien;m;french;0.51
donatienne;f;french;0.03
donato;m;italian, spanish, portuguese;0.10
donella;f;scottish, english;0
donelle;f;;0
dong;m;chinese;1.08
donna;f;english;32.88
donnchadh;m;scottish, irish;0
donnie;m;english;0
donny;m;english;0
donovan;m;irish;0.10
dóra;f;hungarian;0
dora;f;english;8.70
doran;m;irish, english;0
dorcas;f;biblical, english;0
dorean;f;irish;0
doreen;f;english;0
dores;f;portuguese;0
dorete;f;danish;0
doretta;f;;0
dorian;m;english;0.22
doriane;f;french;0.03
doriano;m;italian;0
dorika;f;hungarian;0
dorinda;f;english;0
doris;f;english, german;0.22
dorit;f;jewish;0
dorita;f;;0
dorofei;m;russian;0
doron;m;jewish;0
dorota;f;polish, czech;0
dorotea;f;italian, spanish;0
dorotéia;f;portuguese;0
dorothea;f;english, german, dutch;0
dorothée;f;french;0.57
dorotheos;m;greek, ancient greek;0
dorothy;f;english;1.15
dorottya;f;hungarian;0
dorris;f;english;0
dortha;f;english;0
dorthy;f;english;0
doru;m;romanian;0
dory;f;;0.03
dosia;f;;0
dot;f;english;3.03
dottie;f;english;0
dotty;f;english;0.03
doug;m;english;0.19
dougal;m;scottish, irish;0.10
douglas;m;scottish, english;2.99
dov;m;jewish;0
dovid;m;jewish;0
doyle;m;irish;0.16
draco;m;ancient greek (latinized);0
dragan;m;serbian, croatian;0
dragana;f;serbian, croatian;0
dragica;f;serbian, croatian, slovene;0
dragomir;m;serbian, croatian, romanian, bulgarian;0
dragos;m;romanian;0
drake;m;english;0.61
draven;m;english;0
dreda;f;english;0
drew;m;english;0
drina;f;;0
driscoll;m;english, irish;0
driskoll;m;english, irish;0
drogo;m;english;0
drummond;m;;0.03
drusilla;f;biblical, ancient roman;0
drystan;m;welsh;0
dua;f;arabic;0.13
duana;f;english;0
duane;m;english, irish;0.10
duarte;m;portuguese;0
dubaku;m,f;african;0
dubhghall;m;irish, scottish;0
dubhghlas;m;irish, scottish;0
duc;m;vietnamese;21.50
duci;f;hungarian;0
dudel;m;jewish;0
dudley;m;english;0.22
duff;m;scottish;1.15
dugald;m;scottish;0.03
duha;f;arabic;0
duilio;m;italian;0
duke;m;english;0.67
dulcibella;f;english;0
dulcie;f;english;0
duleep;m;indian;0
dumitru;m;romanian;0
duncan;m;scottish, english;0.48
dung;m;vietnamese;0
dunja;f;serbian, croatian, slovene;0
dunstan;m;english;0
dunya;f;russian;0
dunyasha;f;russian;0
duong;m;vietnamese;0
durand;m;;1.47
durga;f;indian, hindu mythology;0
durward;m;english;0.03
dusan;m;czech, serbian, croatian, slovak;0
dustin;m;english;0.10
dusty;m,f;english;0
duygu;m;turkish;0
dvorah;f;jewish;0
dwayne;m;english, irish;0
dwight;m;english;0.19
dwyn;m;celtic mythology;0
dyan;f;english (modern);0
dylan;m;welsh, english, welsh mythology;0.57
dylis;f;welsh;0
dymphna;f;irish;0
dympna;f;irish;0
éabha;f;irish;0
eachann;m;scottish, irish;0
eadan;f;irish;0
éadaoin;f;irish;0
eadbhárd;m;irish;0
eadburga;f;anglo-saxon;0
eadwig;m;anglo-saxon;0
ealasaid;f;scottish;0
ealdgyð;f;anglo-saxon;0
ealisaid;f;manx;0
eallair;m;scottish;0
eamon;m;irish;0
éamonn;m;irish;0
ean;m;manx;0
eanraig;m;scottish;0
earl;m;english;0.22
earle;m;english;0
earleen;f;english;0
earlene;f;english;0
earline;f;english;0
earnest;m;english;0.03
earnestine;f;english;0
eartha;f;english;0
easter;m,f;english;0
eavan;f;irish;0
ebba;f;english, german;0
ebbe;m;german, scandinavian;0
eben;m;;0
ebenezer;m;biblical, english;0
eber;m;irish;0
eberardo;m;spanish;0
eberhard;m;german;0
ebert;m;;0.03
ebony;f;english;0
ebrahim;m;indian;0
ecaterina;f;romanian;0
ece;f;turkish;0.13
echo;f;greek mythology;0.10
eckbert;m;german;0
eckehard;m;german;0
eckhard;m;german;0.03
ed;m;english;1.94
edan;m;irish, scottish;0
edana;f;;0
edda;f;italian;0.06
eddie;m,f;english;5.26
eddy;m;english;0.48
edelmira;f;spanish;0
eden;f;biblical, english;6.18
edgar;m;english, french;3.60
edgard;m;french;0.03
edgardo;m;spanish;0
edie;f;english;0
edina;f;hungarian;0
edison;m;english;0.83
edit;f;hungarian;0
edita;f;czech, slovene;0
edite;f;portuguese;0
édith;f;french;1.59
edith;f;english;0.06
edmé;f;scottish;0
edmond;m;french;3.47
edmonda;f;;0
edmondo;m;italian;0
edmund;m;english, german;0.89
edmundo;m;spanish, portuguese;0.06
edna (1);f;irish, scottish;0
edna (2);f;biblical;0
edoardo;m;italian;0
edom;m;biblical;0
édouard;m;french;13.89
edric;m;english;0
edsel;m;;0
eduard;m;german;0.32
eduarda;f;portuguese;0
eduardo;m;spanish, portuguese;0.41
edurne;f;basque;0
edvard;m;scandinavian, hungarian, russian, slovene;0.03
edvige;f;italian;0
edward;m;english, polish;3.15
edweena;f;english;0
edwena;f;english;0
edwige;f;french;0.19
edwin;m;english;0.22
edwina;f;english;0
edwyn;m;english;0
edwyna;f;english;0
edyta;f;polish;0
edytha;f;english;0
edythe;f;english;0
eerikki;m;finnish;0
eero;m;finnish;0
eetu;m;finnish;0
eeva;f;finnish;0
effie;f;scottish, english;0.06
efigênia;f;portuguese;0
efisio;m;italian;0
efraim;m;jewish, biblical (variant);0
efraín;m;spanish;0
efstathios;m;greek;0
efua;f;african;0
egbert;m;english;0
egidio;m;italian;0.03
egil;m;scandinavian;0
eglantine;f;english;0
egon;m;german;0.06
ehud;m;biblical, jewish;0
éibhear;m;irish;0
éibhir;m;irish;0
eibhlín;f;irish;0
eideard;m;scottish;0
eidel;f;jewish;0
eileen;f;irish, english;0.06
eilert;m;frisian, scandinavian;0
eilidh;f;scottish;0
eilís;f;irish;0
eilish;f;irish;0
eiluned;f;welsh;0
eilwen;f;welsh;0
éimhín;m;irish;0
eimhir;f;scottish;0
einar;m;scandinavian;0
einion;m;welsh;0
einrí;m;irish;0
eira;f;welsh;0
eiran;m;;0
eireann;f;english, irish;0
eireen;f;english, irish;0
eirene;f;greek mythology, ancient greek;0
eirian;f;welsh;0
eirik;m;norwegian;0
eirlys;f;welsh;0
eirwen;f;welsh;0
eitan;m;jewish;0
eithne;f;irish, scottish;0
ekaterina;f;russian, bulgarian, macedonian;0
ekewaka;m;hawaiian;0
ekin;f;turkish;0
ekkehardt;m;german;0
ekua;f;african;0
ekwueme;m;african;0
eladio;m;spanish;0
elain;f;welsh;0
elaine;f;english;0
elario;m;;0
elba;f;;0
elbert;m;;0
elda;f;italian;0
elder;m;portuguese;0.03
eldon;m;english;0
eldred;m;english;0
eldreda;f;english;0
elea;f;english;0
eleanor;f;english;0.06
eleanora;f;english;0
eleanore;f;english;0
eleazar;m;biblical;0
electra;f;greek mythology (latinized);0.06
eleftheria;f;greek;0
eleftherios;m;greek;0
elek;m;hungarian;0
elen;f;welsh;0
elena;f;italian, spanish, russian, bulgarian, romanian, macedonian;0.32
elene;f;greek;0
eleni;f;greek;0
elenora;f;english;0
eleonoora;f;finnish;0
eleonor;f;english;0.03
eleonora;f;italian;0.03
eléonore;f;french;0.03
eleonore;f;german;0
eleri;f;welsh;0
elettra;f;italian;0
eleuterio;m;spanish, portuguese;0
eleutherius;m;ancient greek (latinized);0
elfa;f;;0
elfleda;f;english;0
elfreda;f;english;0
elfrida;f;english;0
elfriede;f;german;0
eli;m;jewish, english, biblical;0
elia;m;italian;0
elian;m;spanish;0
eliana;f;italian, spanish;0.03
éliane;f;french;0.48
